added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
"(9, 13, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (9, 13)]",9.595859468181741,7.779210975000524,6.893477662301581,5.0457306443079055,4.929120241916189,3.515561989332585,3.2549729448663136,2.7993196489642767,2.6310004254837236,2.1592986047308593,1.7783548037714878,1.5155333918481073,1.2549770006140346,0.8475821986806742,2.1704519362154655e-16,445133,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(10, 13, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (10, 13)]",9.655492218943971,7.784169662104719,6.833298703640991,4.932601494406597,4.1682761379712066,3.9701333449247986,3.4477150095702016,2.850793610667267,2.5873397111554444,2.2987132465566886,1.8390741222002895,1.5924125128954658,1.134567599074637,0.9054126258877713,1.1615193061316272e-15,491508,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(10, 14, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (10, 14)]",9.639136589603455,7.784931378399089,6.871774143464707,5.089428011617384,4.0986369702210625,3.6360508456011353,3.4166469486000297,2.999999999999998,2.6324774111975677,2.386816567136923,1.8206720513956864,1.6610595661464673,1.1206864303499313,0.8416830862666042,1.130805234084496e-15,479031,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(10, 11, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (10, 11)]",9.595830076224244,7.776530206461525,6.822802770408932,5.001317083882939,4.530878446415899,3.7408872514951557,3.4813556623553117,2.8731722197135623,2.5766418146646046,1.980543946761075,1.826501984024244,1.6689187484730634,1.2101591848894369,0.9144606042300202,2.572510096923007e-15,495442,6.587283571049091,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(10, 12, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (10, 12)]",9.628800614260234,7.77758515920667,6.828865479202682,5.006246886065874,4.382977821024674,4.0792448319815255,3.2768813214971204,2.6371292310993173,2.4505279309819183,2.1996625044551643,1.8983433076294358,1.619188006284575,1.2398122433478285,0.9747346629629926,-2.731251470879572e-15,528029,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(11, 14, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (11, 14)]",9.638998691609256,7.780441813149179,6.838015070037466,4.997125332446908,4.403719342133432,3.5814924791883067,3.5047833269395876,3.0487711346657,2.5869160930953736,2.0240559696065,1.7321240586330913,1.6175372159422337,1.3448814674334109,0.9011380051195707,2.4120636527222116e-15,511892,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(11, 13, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (11, 13)]",9.65554807994081,7.789476356000266,6.816845537739343,4.958766779171318,4.339501461969796,3.5825977256318695,3.4397523077882615,3.1987358822401943,2.498573205746606,2.279084733868799,1.7752417317560496,1.5154477288420296,1.307894401192281,0.8425340681124756,1.0258119278613893e-15,489447,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(11, 12, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (11, 12)]",9.628916142613523,7.780613329608561,6.857540993213941,4.930987573865689,4.477734694747671,3.8965096851969974,3.228708410905817,2.915629776102408,2.5335974844289564,2.0000000000000004,1.891704223242617,1.536106758452171,1.4725516015641824,0.8493993260574967,2.9233472692940773e-15,510884,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(12, 14, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (12, 14)]",9.596548877367745,7.796696590789742,6.940216596099993,4.973739123581542,4.1743121167385615,4.068930605746602,3.233656929303114,2.704586443092603,2.6301515161571567,2.3197190509603622,1.8325483071248416,1.5671622306485846,1.1554169559468874,1.0063146564422631,-2.090953280918777e-15,521085,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(12, 13, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (12, 13)]",9.599969323595651,7.778558686700211,6.8819792611322805,4.967839329088857,4.121092485754908,4.095407742896591,3.218897280443406,3.0000000000000004,2.6110301054322074,2.3747113966743782,1.8474463487918886,1.5171381483578459,1.1214613782719731,0.8644685128597923,2.063924562145536e-16,467358,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(13, 14, 1)","[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11), (13, 14)]",9.597261209116024,7.811596253284503,6.824766081181677,5.078210386529238,4.109086875952391,3.7778542195776805,3.473351082271828,3.1068271958507405,2.6178003291388627,2.3282361682723844,1.703537389451648,1.5431878335736968,1.110494773546268,0.9177902022531146,3.2375670040179226e-15,473854,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
